Timestamp,Win,Loss,Blocker,Win_sentiment,Loss_sentiment,Blocker_sentiment,Win_sentiment_category,Loss_sentiment_category,Blocker_sentiment_category,Week,Month
2025-07-09 14:34:49,"Completing my first week with Umuzi gave me confidence and a sense of purpose. I especially enjoyed the design thinking and Odyssey Plan exercises, which helped me plan and commit more effectively.","I didn’t get opportunities from two companies that interviewed me last month, which was discouraging. However, I learned from the experience and was grateful for the chance to engage with the associates managers.",Being financially unstable has been draining my energy and focus some days. But seeing my family support me through this keeps me going and reminds me to stay grateful.,0.5875,0.0,0.0,Positive,Neutral,Neutral,28,July
2025-07-09 14:43:15,"I enjoyed introspecting myself on the basis of building those prototypes and 5 lives, as much as they were not real they ignited me to think of my purpose and see how I can blend it with my formal education and skills to better myself and community as whole. Lastly, I have completed my diploma in Law and awaiting an acceptance into LLB degree. ","Except for being sick and experiencing challenges with reception, I have nothing negative. ","None, only temporary set backs (reception and etc) ",0.2166666666666666,-0.5071428571428571,0.0,Neutral,Negative,Neutral,28,July
2025-07-09 14:49:40,Submitting all my work in time and completing my Courses,I don’t have any,"Data , I couldn’t join some meetings because I was out of data ",0.0,0.0,0.0,Neutral,Neutral,Neutral,28,July
2025-07-09 14:50:41,I submitted most of the assigned assignments,I did not understand some assignments s well and it felt like a lot of work to have to attend classes the whole day and honour deadlines.I felt overwhelmed at some point also with catching up with the number of emails that we were recieving.,Spending most time in class leading to having little time to understand and execute the required work.Also experienced issues with my network when I joined meeting with my laptop which made it difficult to share my work in class.,0.5,0.4,0.153125,Positive,Positive,Neutral,28,July
2025-07-09 15:14:46,I enjoyed the Life Lifeline activity. I got to dig deep and ask myself difficult questions and be honest with myself.,,"I forgot to login to Google classroom, until I received an email from Natalie. ",0.15,0.0,0.0,Neutral,Neutral,Neutral,28,July
2025-07-09 16:02:20,I enjoyed and learnt from the design your life module. I was able to think deep on what I want career wise and had the opportunity to think much on how I can go about it. I even enjoyed the test kitchen exercise because it has brought me an insight on where I can start of from now on. And I also I can say I'm slowly gaining confidence in public speaking.,,I ran out of data which made me miss some sessions,0.2624999999999999,0.0,0.0,Neutral,Neutral,Neutral,28,July
2025-07-09 16:19:53,"What went well was hearing other candidates plan for their 10 years Odyssey,  I enjoyed it because it was inspiring a lot.",I would say I struggled a bit or was confused when we were doing the one with the symbol. I was supposed to use Google slide instead of pdf document.,I would say not reading instructions sometimes was a blocker because I had to go back and fix mistakes.,0.2916666666666667,-0.4,0.0,Neutral,Negative,Neutral,28,July
2025-07-09 19:50:47,I enjoyed sharing my symbol and it's meaning.,I submitted 2 of my tasks late last week.,"There is a power failure affecting a few houses in my neighbourhood. Unfortunately, this has been ongoing for the past two weeks and is only expected to be resolved next week. I'm really sad to be missing the online sessions during this time, but I’m doing my best to stay updated and catch up where I can. ",0.5,-0.15,-0.1066666666666666,Positive,Negative,Negative,28,July
2025-07-09 21:48:18,"It was a good week, I learnt a lot about myself, the DYL segment was very eye-opening for me, I really enjoyed the activities we did.",,"Nothing hectic, just network issues. ",0.4666666666666666,0.0,0.0,Positive,Neutral,Neutral,28,July
2025-07-10 00:42:57,"Although I couldn't submit on time, the tasks were really enjoyable and taught me lots of new things such as the odyssey plan which I was hearing about for the first time",I was not able to submit last week work on time,I didn't have much time on my hands since I was blessed with a baby recently but mom was able to come help and now I am able to participate,0.2215909090909091,-0.125,0.3,Neutral,Negative,Positive,28,July
2025-07-10 00:49:48,I learnt direction with my life path and that it is okay to not have everything figured out.,"Connectivity and data challenges, along with equipment.",data,0.5,0.0,0.0,Positive,Neutral,Neutral,28,July
2025-07-10 08:58:41,I’ve been experimenting with prompts and really seeing how powerful and useful AI can be when applied right. I’m excited to keep building on that and learning how to integrate it more practically into my workflow.,It was challenging to let go of my old way of writing prompts which was being generic but I am learning how to be more specific when prompting LLMs.,I had nothing I would classify as a blocker.,0.3267857142857143,0.22,0.0,Positive,Neutral,Neutral,28,July
2025-07-10 09:30:28,"The communication from Umuzi team is very thorough and effective, this make it easy on the learners' side.",none,illness,0.4111111111111111,0.0,0.0,Positive,Neutral,Neutral,28,July
2025-07-10 09:36:24,Managed to complete all my work in time.,,"Unable to complete the Odyssey Children's Book assignment as I do not have access to 'Odyssey Children's Book Template' link, I have requested access but nothing has changed.",0.1,0.0,-0.2,Neutral,Neutral,Negative,28,July
2025-07-10 10:13:12,a win from last week is getting to know my classmates well,,"my laptop mic was not working,so it interrupted me on many presentations but i managed to resolve my problems later on",0.4,0.0,0.25,Positive,Neutral,Neutral,28,July
2025-07-10 10:25:14,I managed to do my passport,Travelling to work on Monday,,0.0,0.0,0.0,Neutral,Neutral,Neutral,28,July
2025-07-10 10:33:39,Prototype budget,"I do not know, maybe presenting something.","Nothing much, maybe doing house chores.",0.0,0.0,0.2,Neutral,Neutral,Neutral,28,July
2025-07-10 10:52:29,"Completed the desktop UI for my chat app (React + Tailwind), and finally gained clarity on task breakdown and workflow — everything started clicking into place","Had to walk away from my previous job — a hard but necessary step for growth. On a personal note, my headset broke again after repairing it, which was frustrating. Both events reminded me to let go of what’s no longer serving me, even when it hurts.","Switched to Vodacom Home Prepaid, which is significantly slower than Telkom in my area. I’m locked in for the month, so I'm adapting by scheduling downloads during off-peak hours. It’s slowing some tasks but manageable with patience",0.0,-0.1716666666666667,0.375,Neutral,Negative,Positive,28,July
2025-07-10 10:58:24,Experience labs sessions (provided me with a new perspective in career planning),,Fatigue (needed to create an Apex project),0.1363636363636363,0.0,0.0,Neutral,Neutral,Neutral,28,July
2025-07-10 12:41:19,I managed to work according to a schedule. The schedule has really been helping work more efficiently this week.,Keeping up with the different assignments/activities on the various platforms was overwhelming at first but I have gotten used to it.,I have been experiencing some technical difficulties.,0.35,0.1875,0.0,Positive,Neutral,Neutral,28,July
2025-07-10 14:21:27,I enjoyed the Design Your life week. It helped me be more insighful about my life.,What challenged me last week was basically my time management. I got a wake up call that doing other stuff outside the Umuzi work requires good time management so I could balance all my responsibilities.,I'm not sure of any blockers right now.,0.5,0.14375,0.0178571428571428,Positive,Neutral,Neutral,28,July
2025-07-10 14:29:38,"I made significant improvements on my first chatbot last week, it's still not very smooth but it works better now","A recent challenge I faced was trying to balance multiple priorities,  particularly starting my freelance journey while still navigating uncertainties around my financial situation. I'm still figuring things out","A blocker I experienced recently was emotional burnout. I’ve been juggling a lot mentally, and while I try to stay focused and productive, some days it’s hard to stay present or motivated. I’ve been pushing through by staying busy with hands-on work like my freelance projects and the tasks given by Umuzi",0.1942307692307692,0.0,0.0726190476190476,Neutral,Neutral,Neutral,28,July
2025-07-10 14:37:29,keeping up with my latest assignments,,,0.5,0.0,0.0,Positive,Neutral,Neutral,28,July
2025-07-10 18:04:56,"The Odyssey plan really hit home with me, I needed to that activity","Temporarily moving to Johannesburg, has left me a bit off in completing my work properly ",The aforementioned,0.2,0.0,0.0,Neutral,Neutral,Neutral,28,July
2025-07-10 20:23:06,"Last i had more time to dig a lil bit of myself, which was challenging at first but it made realize that i do not spend most time with myself and planning my future not in my head but writing it down.",I had a difficult time balancing my work and attending the kids.,My blocker was bad network and data,0.2277777777777777,-0.5,-0.6999999999999998,Neutral,Negative,Negative,28,July
2025-07-10 20:25:48,"Designing your life sessions went very well, I enjoyed how these lessons have helped me unpack things that I didnt realize about myself. ","Opening up was very challenging, am an introvet and I don't really like to talk but I realized that there are some student who are like me and they opened up.","Other commitment like school, sometime the live sessions we have clashes with school webiners.",0.35,0.425,0.0056818181818181,Positive,Positive,Neutral,28,July
2025-07-10 20:41:41,Completed my Google cyber security certification.,Lost access to my old Google account,Lack of data,0.0,0.1,0.0,Neutral,Neutral,Neutral,28,July
